chain_id	default_p_at_l	r02_p_at_l
2g6w_A	0.3968668407310705	0.44386422976501305
4f6e_A	0.15942028985507245	0.2028985507246377
3rit_A	0.4180790960451977	0.4209039548022599
4nml_A	0.24	0.4
6w8r_A	0.3543956043956044	0.3516483516483517
4xkq_A	0.2924731182795699	0.32688172043010755
6px3_S	0.11587982832618025	0.15879828326180256
2ot9_A	0.08379888268156424	0.0782122905027933
3nqk_A	0.06885245901639345	0.10491803278688525
3fy4_A	0.1784313725490196	0.21568627450980393
3jqo_S	0.09137055837563451	0.16243654822335024
3iwg_A	0.291044776119403	0.39925373134328357
8ufo_A	0.04059040590405904	0.014760147601476014
2wpw_A	0.3475609756097561	0.4634146341463415
3mxa_A	0.053156146179401995	0.04318936877076412
3lwa_A	0.5149700598802395	0.5269461077844312
4v9f_M	0.15384615384615385	0.1641025641025641
3csv_A	0.2111801242236025	0.2919254658385093
7f43_B	0.135	0.13
8bob_C	0.25728155339805825	0.32038834951456313
6ksy_B	0.2975778546712803	0.4083044982698962
4ntk_A	0.23140495867768596	0.371900826446281
3f7e_A	0.3203125	0.453125
6ncz_C	0.44901960784313727	0.4411764705882353
2x8j_D	0.38961038961038963	0.39285714285714285
1kqg_B	0.07958477508650519	0.08996539792387544
7ezd_B	0.46285714285714286	0.49142857142857144
6xcs_A	0.13970588235294118	0.23774509803921567
7cfu_I	0.35428571428571426	0.4342857142857143
8dbf_A	0.40189873417721517	0.48417721518987344
6kjj_A	0.17174515235457063	0.22160664819944598
3r74_A	0.21176470588235294	0.24901960784313726
3l7z_C	0.1981981981981982	0.28378378378378377
2jol_A	0.043478260869565216	0.04891304347826087
7to3_C	0.18207282913165265	0.19607843137254902
6b9o_B	0.17647058823529413	0.1784313725490196
3kbb_A	0.4398148148148148	0.4861111111111111
8di1_A	0.45	0.4954545454545455
1by2_A	0.07142857142857142	0.08035714285714286
5t9f_B	0.37549407114624506	0.43873517786561267
3wwm_A	0.14869888475836432	0.32342007434944237
6z3e_A	0.32489451476793246	0.3755274261603376
7qep_L2	0.05603448275862069	0.05603448275862069
5frd_A	0.52734375	0.59375
3db5_B	0.05970149253731343	0.08955223880597014
8d3z_A	0.24812030075187969	0.3107769423558897
3b59_A	0.2292358803986711	0.3388704318936877
4c5u_C	0.052941176470588235	0.06862745098039216
2ii6_A	0.22646310432569974	0.3256997455470738
1cby_A	0.03524229074889868	0.06167400881057269
5j5u_B	0.21460176991150443	0.2610619469026549
5ex9_A	0.05314009661835749	0.0966183574879227
6l2f_A	0.576271186440678	0.5932203389830508
5e72_A	0.48606811145510836	0.5015479876160991
5n3u_B	0.5705882352941176	0.5529411764705883
6v4a_C	0.22745098039215686	0.32941176470588235
8tkf_A	0.12156862745098039	0.12941176470588237
3v6z_A	0.4343891402714932	0.5248868778280543
7uwd_a	0.1411764705882353	0.17450980392156862
4buc_A	0.3770491803278688	0.4098360655737705
6igx_D	0.29411764705882354	0.38235294117647056
6ttb_A	0.4984894259818731	0.5558912386706949
6git_A	0.36489151873767256	0.4378698224852071
2hqy_A	0.22818791946308725	0.3187919463087248
8dzg_A	0.17857142857142858	0.20238095238095238
5h45_B	0.08917197452229299	0.12101910828025478
7o0i_e	0.17699115044247787	0.18584070796460178
6zqf_JL	0.3674911660777385	0.45229681978798586
2p8i_A	0.2905982905982906	0.2905982905982906
3ehn_A	0.14313725490196078	0.22156862745098038
1jzt_A	0.5061728395061729	0.5555555555555556
6yji_A	0.1090146750524109	0.21174004192872117
3rm5_A	0.23921568627450981	0.27450980392156865
2buj_A	0.29553264604810997	0.4054982817869416
8iah_3	0.038356164383561646	0.09863013698630137
7p3x_B	0.5705882352941176	0.6019607843137255
3c2h_B	0.30980392156862746	0.3196078431372549
3qp3_A	0.693069306930693	0.7227722772277227
5lf8_A	0.2885375494071146	0.31225296442687744
8bqx_x	0.17166212534059946	0.20435967302452315
7a3q_A	0.1935483870967742	0.22849462365591397
2imz_A	0.041666666666666664	0.06944444444444445
7xy6_R	0.11538461538461539	0.12937062937062938
1g4u_S	0.11666666666666667	0.16666666666666666
8j4u_L	0.2169576059850374	0.24937655860349128
3bga_A	0.37058823529411766	0.4
7w1f_C	0.08369098712446352	0.09656652360515021
6gh8_B	0.2	0.15454545454545454
5xs2_A	0.2185792349726776	0.27595628415300544
1o9g_A	0.42570281124497994	0.5220883534136547
6bx3_A	0.4171974522292994	0.4745222929936306
2edk_A	0.5841584158415841	0.6138613861386139
1nxz_A	0.2967479674796748	0.3252032520325203
2gz4_A	0.06	0.11
1j0t_A	0.10256410256410256	0.14102564102564102
7e36_B	0.3848101265822785	0.42025316455696204
6qhn_A	0.21244635193133046	0.28969957081545067
2vhl_B	0.34096692111959287	0.3816793893129771
2diu_A	0.40625	0.46875
7ze1_A	0.1	0.07058823529411765
5azb_A	0.1795774647887324	0.23943661971830985
3lxf_A	0.22115384615384615	0.18269230769230768
4p47_A	0.3375	0.3875
8tn8_B	0.043478260869565216	0.04743083003952569
3vyw_D	0.4215686274509804	0.4117647058823529
4lds_A	0.25653206650831356	0.2850356294536817
6sjr_A	0.3377049180327869	0.38688524590163936
1wkc_A	0.44047619047619047	0.4107142857142857
2w2h_A	0.13688212927756654	0.09505703422053231
2lv4_A	0.18493150684931506	0.1780821917808219
8g52_A	0.3333333333333333	0.26881720430107525
8gw3_A	0.27759197324414714	0.34448160535117056
4f5f_B	0.35	0.3875
3tee_A	0.1407766990291262	0.21844660194174756
5j98_B	0.12307692307692308	0.17307692307692307
6c66_A	0.03725490196078431	0.06274509803921569
3gm8_A	0.3803921568627451	0.3862745098039216
4pkf_B	0.17391304347826086	0.2463768115942029
3n0w_A	0.5	0.5133689839572193
7fdc_O	0.04591836734693878	0.03571428571428571
3pm9_A	0.16989247311827957	0.2645161290322581
7abv_A	0.12931034482758622	0.08189655172413793
7a57_B	0.0779510022271715	0.06904231625835189
8cjz_G	0.05263157894736842	0.1023391812865497
6l7o_A	0.07816711590296496	0.03504043126684636
4gvo_A	0.5423728813559322	0.5847457627118644
5lvf_A	0.23943661971830985	0.19718309859154928
4z8s_A	0.06072874493927125	0.06477732793522267
6sm7_B	0.38305084745762713	0.423728813559322
5m3e_A	0.35526315789473684	0.40131578947368424
5ipx_A	0.06382978723404255	0.05673758865248227
4ynz_B	0.26006191950464397	0.29721362229102166
1dl5_A	0.38485804416403785	0.3785488958990536
4yoc_C	0.19607843137254902	0.18235294117647058
6cvk_A	0.5103734439834025	0.5394190871369294
6es9_A	0.16666666666666666	0.23921568627450981
7uio_Ba	0.057534246575342465	0.0684931506849315
2f8h_A	0.22777777777777777	0.28055555555555556
2cg8_C	0.2289156626506024	0.20080321285140562
5fp2_A	0.27054108216432865	0.3186372745490982
8wg5_M	0.03691275167785235	0.09395973154362416
3cq9_B	0.2694063926940639	0.3150684931506849
2qr6_A	0.29110512129380056	0.3288409703504043
5ov5_A	0.3482758620689655	0.31724137931034485
6nru_I	0.33497536945812806	0.43349753694581283
6ero_A	0.25675675675675674	0.22972972972972974
7ovu_A	0.3877551020408163	0.3979591836734694
3v47_C	0.0711864406779661	0.1016949152542373
8ds6_B	0.18507462686567164	0.2417910447761194
4cp6_A	0.45185185185185184	0.4567901234567901
6o6w_A	0.12244897959183673	0.08843537414965986
5fq6_M	0.3196078431372549	0.3431372549019608
7y1b_A	0.5175438596491229	0.6578947368421053
2h7z_B	0.19480519480519481	0.22077922077922077
1a78_A	0.1865671641791045	0.26865671641791045
7emz_A	0.06115107913669065	0.05755395683453238
6se1_A	0.45977011494252873	0.4942528735632184
1nw8_A	0.4375	0.44485294117647056
5v1x_D	0.2550335570469799	0.3333333333333333
4eye_A	0.4057507987220447	0.4185303514376997
2dpm_A	0.35658914728682173	0.3488372093023256
6rxv_CX	0.3258426966292135	0.3146067415730337
1z8f_A	0.3804347826086957	0.42934782608695654
2r7d_A	0.09978308026030369	0.10845986984815618
7dsl_A	0.3524416135881104	0.3609341825902335
5mmm_y	0.3275862068965517	0.31896551724137934
5l2q_D	0.2653061224489796	0.3673469387755102
